Year,Week,new_cases,new_deaths,icu_patients,hosp_patients,new_vaccinations,Sequence_Index,new_cases_predicted,new_cases_difference,new_deaths_predicted,new_deaths_difference,icu_patients_predicted,icu_patients_difference,hosp_patients_predicted,hosp_patients_difference
2020,12,0,670,6197,25125,0.0,1,187465.52934379986,-187465.52934379986,1113.4918214638565,-443.49182146385647,12222.279000660179,-6025.279000660179,124501.61139852075,-99376.61139852075
2020,13,0,1999,23455,97379,0.0,2,187465.52934379986,-187465.52934379986,1113.4918214638565,885.5081785361435,12222.279000660179,11232.720999339821,124501.61139852075,-27122.61139852075
2020,14,0,3276,42935,178344,0.0,3,187465.52934379986,-187465.52934379986,1113.4918214638565,2162.5081785361435,12222.279000660179,30712.72099933982,124501.61139852075,53842.38860147925
2020,15,0,3344,48249,214197,0.0,4,187465.52934379986,-187465.52934379986,1113.4918214638565,2230.5081785361435,12222.279000660179,36026.72099933982,124501.61139852075,89695.38860147925
2020,16,0,2730,43058,218940,0.0,5,187465.52934379986,-187465.52934379986,1113.4918214638565,1616.5081785361435,12222.279000660179,30835.72099933982,124501.61139852075,94438.38860147925
2020,17,0,2096,35036,203973,0.0,6,187465.52934379986,-187465.52934379986,1113.4918214638565,982.5081785361435,12222.279000660179,22813.72099933982,124501.61139852075,79471.38860147925
2020,18,0,1406,28344,185788,0.0,7,187465.52934379986,-187465.52934379986,1113.4918214638565,292.50817853614353,12222.279000660179,16121.720999339821,124501.61139852075,61286.38860147925
2020,19,0,1056,21332,164930,0.0,8,187465.52934379986,-187465.52934379986,1113.4918214638565,-57.49182146385647,12222.279000660179,9109.720999339821,124501.61139852075,40428.38860147925
2020,20,677,810,16103,143634,0.0,9,187465.52934379986,-186788.52934379986,1113.4918214638565,-303.49182146385647,12222.279000660179,3880.720999339821,124501.61139852075,19132.38860147925
2020,21,4340,562,12184,124352,0.0,10,187465.52934379986,-183125.52934379986,1113.4918214638565,-551.4918214638565,12222.279000660179,-38.27900066017901,124501.61139852075,-149.61139852074848
2020,22,3436,471,9861,106976,0.0,11,187465.52934379986,-184029.52934379986,1113.4918214638565,-642.4918214638565,12222.279000660179,-2361.279000660179,124501.61139852075,-17525.61139852075
2020,23,2745,331,7922,92232,0.0,12,187465.52934379986,-184720.52934379986,1113.4918214638565,-782.4918214638565,12222.279000660179,-4300.279000660179,124501.61139852075,-32269.61139852075
2020,24,2627,258,6235,80015,0.0,13,187465.52934379986,-184838.52934379986,1113.4918214638565,-855.4918214638565,12222.279000660179,-5987.279000660179,124501.61139852075,-44486.61139852075
2020,25,2267,159,5151,70994,0.0,14,187465.52934379986,-185198.52934379986,1113.4918214638565,-954.4918214638565,12222.279000660179,-7071.279000660179,124501.61139852075,-53507.61139852075
2020,26,2024,111,4374,63727,0.0,15,187465.52934379986,-185441.52934379986,1113.4918214638565,-1002.4918214638565,12222.279000660179,-7848.279000660179,124501.61139852075,-60774.61139852075
2020,27,2324,100,3835,57200,0.0,16,187465.52934379986,-185141.52934379986,1113.4918214638565,-1013.4918214638565,12222.279000660179,-8387.279000660179,124501.61139852075,-67301.61139852075
2020,28,2853,120,3435,50750,0.0,17,187465.52934379986,-184612.52934379986,1113.4918214638565,-993.4918214638565,12222.279000660179,-8787.279000660179,124501.61139852075,-73751.61139852075
2020,29,3510,94,3195,47318,0.0,18,187465.52934379986,-183955.52934379986,1113.4918214638565,-1019.4918214638565,12222.279000660179,-9027.279000660179,124501.61139852075,-77183.61139852075
2020,30,5565,98,2823,42178,0.0,19,187465.52934379986,-181900.52934379986,1113.4918214638565,-1015.4918214638565,12222.279000660179,-9399.279000660179,124501.61139852075,-82323.61139852075
2020,31,7676,77,2484,37489,0.0,20,187465.52934379986,-179789.52934379986,1113.4918214638565,-1036.4918214638565,12222.279000660179,-9738.279000660179,124501.61139852075,-87012.61139852075
2020,32,10899,69,2543,35347,0.0,21,187465.52934379986,-176566.52934379986,1113.4918214638565,-1044.4918214638565,12222.279000660179,-9679.279000660179,124501.61139852075,-89154.61139852075
2020,33,16650,92,2495,34074,0.0,22,187465.52934379986,-170815.52934379986,1113.4918214638565,-1021.4918214638565,12222.279000660179,-9727.279000660179,124501.61139852075,-90427.61139852075
2020,34,25208,118,2554,33260,0.0,23,187465.52934379986,-162257.52934379986,1113.4918214638565,-995.4918214638565,12222.279000660179,-9668.279000660179,124501.61139852075,-91241.61139852075
2020,35,37753,111,2707,31840,0.0,24,187465.52934379986,-149712.52934379986,1113.4918214638565,-1002.4918214638565,12222.279000660179,-9515.279000660179,124501.61139852075,-92661.61139852075
2020,36,50197,126,3142,32406,0.0,25,187465.52934379986,-137268.52934379986,1113.4918214638565,-987.4918214638565,12222.279000660179,-9080.279000660179,124501.61139852075,-92095.61139852075
